,item_num,sent_num,word_num,word,reading_time,dep_len,integration_cost,freq,length,freq_1,freq_2,length_1,length_2
0,1,1,0,I,70.89458723081478,0,0,0.0123,1,,,,
1,1,1,1,prefer,25.1337247392961,2,0,3.72e-05,6,0.0123,,1.0,
2,1,1,2,the,143.76246835122026,0,0,0.0537,3,3.72e-05,0.0123,6.0,1.0
3,1,1,3,morning,32.044681529637316,0,0,0.000214,7,0.0537,3.72e-05,3.0,6.0
4,1,1,4,flight,98.57988260355889,3,2,7.24e-05,6,0.000214,0.0537,7.0,3.0
5,1,1,5,through,160.81694752772904,0,0,0.000741,7,7.24e-05,0.000214,6.0,7.0
6,1,1,6,Denver.,143.62779500663692,2,1,1.7e-05,7,0.000741,7.24e-05,7.0,6.0
7,1,2,0,The,40.334551818220376,0,0,0.0537,3,,,,
8,1,2,1,reporter,153.6609169913878,0,0,2.24e-05,8,0.0537,,3.0,
9,1,2,2,who,71.37486035500478,0,0,0.00219,3,2.24e-05,0.0537,8.0,3.0
10,1,2,3,the,102.70697009294535,0,0,0.0537,3,0.00219,2.24e-05,3.0,8.0
11,1,2,4,senator,102.77253599312176,0,0,3.8e-05,7,0.0537,0.00219,3.0,3.0
12,1,2,5,attacked,62.85463051013494,4,2,3.31e-05,8,3.8e-05,0.0537,7.0,3.0
13,1,2,6,disliked,143.61482328434073,7,0,2.57e-06,8,3.31e-05,3.8e-05,8.0,7.0
14,1,2,7,the,120.98394831021422,0,0,0.0537,3,2.57e-06,3.31e-05,8.0,8.0
15,1,2,8,editor.,98.63801278438618,2,1,4.17e-05,7,0.0537,2.57e-06,3.0,8.0
